date,open,high,low,close,ffr,nfp,y,arah
2/27/2020,1641.099976,1658,1564.099976,1641.099976,1.75,237,1641.400024,Naik
3/5/2020,1637.300049,1701.599976,1635,1641.400024,1.25,237,1477.300049,Turun
3/12/2020,1637,1647.5,1452.099976,1477.300049,1.25,262,1632.300049,Naik
3/19/2020,1481.5,1685.5,1471,1632.300049,0.25,262,1578.199951,Turun
3/26/2020,1660.5,1660.5,1570,1578.199951,0.25,262,1665.400024,Naik
4/2/2020,1590.900024,1724.400024,1586,1665.400024,0.25,262,1727.199951,Naik
4/9/2020,1662.699951,1775,1662.699951,1727.199951,0.25,-1398,1728.699951,Naik
4/16/2020,1731,1750.599976,1659.900024,1728.699951,0.25,-1398,1703.400024,Turun
4/23/2020,1734,1745.099976,1702,1703.400024,0.25,-1398,1684.199951,Turun
4/30/2020,1719.300049,1719.300049,1670.5,1684.199951,0.25,-1398,1713.900024,Naik
5/7/2020,1686.199951,1728.900024,1685.599976,1713.900024,0.25,-20469,1750.599976,Naik
5/14/2020,1724.300049,1770.5,1720.5,1750.599976,0.25,-20469,1710.300049,Turun
5/21/2020,1746.800049,1746.800049,1685.599976,1710.300049,0.25,-20469,1697.800049,Turun
5/28/2020,1709.300049,1747,1684.5,1697.800049,0.25,-20469,1713.300049,Naik
6/4/2020,1694.5,1740.800049,1668.599976,1713.300049,0.25,-20469,1729.199951,Naik
6/11/2020,1737.199951,1744.099976,1703.300049,1729.199951,0.25,2614,1765.800049,Naik
6/18/2020,1730.5,1783.099976,1717.300049,1765.800049,0.25,2614,1773.199951,Naik
6/25/2020,1761.699951,1798,1759.800049,1773.199951,0.25,2614,1815.5,Naik
7/2/2020,1773.400024,1817.900024,1768.699951,1815.5,0.25,2614,1811.400024,Turun
7/9/2020,1816.099976,1819.800049,1791,1811.400024,0.25,4631,1864.099976,Naik
7/16/2020,1810.900024,1867,1794.300049,1864.099976,0.25,4631,1953.5,Naik
7/23/2020,1868.699951,1953.5,1868.5,1953.5,0.25,4631,2031.099976,Naik
7/30/2020,1963.400024,2050.199951,1930,2031.099976,0.25,4631,1934.900024,Turun
8/6/2020,2045.5,2063,1871.599976,1934.900024,0.25,4631,1958.699951,Naik
8/13/2020,1921.5,2002.800049,1916.900024,1958.699951,0.25,1584,1940.699951,Turun
8/20/2020,1941.199951,1950.800049,1908.900024,1940.699951,0.25,1584,1934.400024,Turun
8/27/2020,1948.900024,1986.300049,1921.599976,1934.400024,0.25,1584,1944.699951,Naik
9/3/2020,1937.099976,1946.199951,1903.099976,1944.699951,0.25,1584,1960.199951,Naik
9/10/2020,1944.099976,1968.5,1937.800049,1960.199951,0.25,1566,1859.900024,Turun
9/17/2020,1939,1952.099976,1859.900024,1859.900024,0.25,1566,1887.5,Naik
9/24/2020,1851.5,1899.699951,1851.5,1887.5,0.25,1566,1883.599976,Turun
10/1/2020,1884.099976,1918,1873.099976,1883.599976,0.25,1566,1901.300049,Naik
10/8/2020,1893,1929.099976,1882.5,1901.300049,0.25,949,1924.599976,Naik
10/15/2020,1897.300049,1927.300049,1889.599976,1924.599976,0.25,949,1876.199951,Turun
10/22/2020,1924.300049,1924.300049,1870.900024,1876.199951,0.25,949,1894.599976,Naik
10/29/2020,1876.099976,1908.5,1858.800049,1894.599976,0.25,949,1860.699951,Turun
11/5/2020,1901.699951,1963.199951,1847.099976,1860.699951,0.25,949,1873.5,Naik
11/12/2020,1869,1890.099976,1866.599976,1873.5,0.25,690,1805.699951,Turun
11/19/2020,1865.800049,1872.599976,1799.300049,1805.699951,0.25,690,1825.699951,Naik
11/26/2020,1806.099976,1830,1762.300049,1825.699951,0.25,690,1834.599976,Naik
12/3/2020,1829.199951,1875.800049,1820.800049,1834.599976,0.25,690,1856.099976,Naik
